District,Season,Crop
ANANTAPUR,Kharif     ,Arhar/Tur
ANANTAPUR,Kharif     ,Bajra
ANANTAPUR,Kharif     ,Castor seed
ANANTAPUR,Kharif     ,Cotton(lint)
ANANTAPUR,Kharif     ,Dry chillies
ANANTAPUR,Kharif     ,Groundnut
ANANTAPUR,Kharif     ,Horse-gram
ANANTAPUR,Kharif     ,Jowar
ANANTAPUR,Kharif     ,Korra
ANANTAPUR,Kharif     ,Maize
ANANTAPUR,Kharif     ,Moong(Green Gram)
ANANTAPUR,Kharif     ,Other Kharif pulses
ANANTAPUR,Kharif     ,Ragi
ANANTAPUR,Kharif     ,Rice
ANANTAPUR,Kharif     ,Sugarcane
ANANTAPUR,Kharif     ,Sunflower
ANANTAPUR,Kharif     ,Tobacco
ANANTAPUR,Rabi       ,Dry chillies
ANANTAPUR,Rabi       ,Gram
ANANTAPUR,Rabi       ,Groundnut
ANANTAPUR,Rabi       ,Horse-gram
ANANTAPUR,Rabi       ,Jowar
ANANTAPUR,Rabi       ,Korra
ANANTAPUR,Rabi       ,Maize
ANANTAPUR,Rabi       ,Ragi
ANANTAPUR,Rabi       ,Rice
ANANTAPUR,Rabi       ,Sunflower
ANANTAPUR,Rabi       ,Wheat
ANANTAPUR,Kharif     ,Arhar/Tur
ANANTAPUR,Kharif     ,Bajra
ANANTAPUR,Kharif     ,Castor seed
ANANTAPUR,Kharif     ,Cotton(lint)
ANANTAPUR,Kharif     ,Dry chillies
ANANTAPUR,Kharif     ,Groundnut
ANANTAPUR,Kharif     ,Horse-gram
ANANTAPUR,Kharif     ,Jowar
ANANTAPUR,Kharif     ,Korra
ANANTAPUR,Kharif     ,Maize
ANANTAPUR,Kharif     ,Moong(Green Gram)
ANANTAPUR,Kharif     ,Other Kharif pulses
ANANTAPUR,Kharif     ,Ragi
ANANTAPUR,Kharif     ,Rice
ANANTAPUR,Kharif     ,Sunflower
ANANTAPUR,Rabi       ,Dry chillies
ANANTAPUR,Rabi       ,Gram
ANANTAPUR,Rabi       ,Groundnut
ANANTAPUR,Rabi       ,Horse-gram
ANANTAPUR,Rabi       ,Jowar
ANANTAPUR,Rabi       ,Maize
ANANTAPUR,Rabi       ,Ragi
ANANTAPUR,Rabi       ,Rice
ANANTAPUR,Rabi       ,Sunflower
ANANTAPUR,Rabi       ,Wheat
ANANTAPUR,Whole Year ,Sugarcane
ANANTAPUR,Whole Year ,Tobacco
ANANTAPUR,Kharif     ,Bajra
ANANTAPUR,Kharif     ,Castor seed
ANANTAPUR,Kharif     ,Cotton(lint)
ANANTAPUR,Kharif     ,Groundnut
ANANTAPUR,Kharif     ,Horse-gram
ANANTAPUR,Kharif     ,Jowar
ANANTAPUR,Kharif     ,Maize
ANANTAPUR,Kharif     ,Masoor
ANANTAPUR,Kharif     ,Moong(Green Gram)
ANANTAPUR,Kharif     ,Ragi
ANANTAPUR,Kharif     ,Rice
ANANTAPUR,Kharif     ,Sesamum
ANANTAPUR,Kharif     ,Urad
ANANTAPUR,Rabi       ,Bajra
ANANTAPUR,Rabi       ,Gram
ANANTAPUR,Rabi       ,Groundnut
ANANTAPUR,Rabi       ,Horse-gram
ANANTAPUR,Rabi       ,Jowar
ANANTAPUR,Rabi       ,Linseed
ANANTAPUR,Rabi       ,Maize
ANANTAPUR,Rabi       ,Masoor
ANANTAPUR,Rabi       ,Moong(Green Gram)
ANANTAPUR,Rabi       ,Ragi
ANANTAPUR,Rabi       ,Rice
ANANTAPUR,Rabi       ,Safflower
ANANTAPUR,Rabi       ,Sesamum
ANANTAPUR,Rabi       ,Wheat
ANANTAPUR,Whole Year ,Dry chillies
ANANTAPUR,Whole Year ,Onion
ANANTAPUR,Whole Year ,Sugarcane
ANANTAPUR,Kharif     ,Arhar/Tur
ANANTAPUR,Kharif     ,Bajra
ANANTAPUR,Kharif     ,Castor seed
ANANTAPUR,Kharif     ,Cotton(lint)
ANANTAPUR,Kharif     ,Dry chillies
ANANTAPUR,Kharif     ,Gram
ANANTAPUR,Kharif     ,Groundnut
ANANTAPUR,Kharif     ,Horse-gram
ANANTAPUR,Kharif     ,Jowar
ANANTAPUR,Kharif     ,Korra
ANANTAPUR,Kharif     ,Maize
ANANTAPUR,Kharif     ,Moong(Green Gram)
ANANTAPUR,Kharif     ,Onion
ANANTAPUR,Kharif     ,Other Kharif pulses
ANANTAPUR,Kharif     ,other misc. pulses
ANANTAPUR,Kharif     ,Ragi
ANANTAPUR,Kharif     ,Rice
